,layers,layers_config,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
1,[1024],"[(1024, 'relu')]",0.97,64,0.01,0.1,1.3414,0.7037,37
2,[512],"[(512, 'relu')]",0.97,64,0.01,0.1,1.3607,0.7093,38
3,[256],"[(256, 'relu')]",0.97,64,0.01,0.1,1.4041,0.6933,43
4,[1024],"[(1024, 'relu')]",0.99,256,0.01,0.1,1.4077,0.7022,15
5,[1024],"[(1024, 'relu')]",0.97,256,0.01,0.1,1.4252,0.6917,15
6,[1024],"[(1024, 'relu')]",0.97,512,0.01,0.1,1.4566,0.6806,15
7,[1024],"[(1024, 'relu')]",0.99,512,0.01,0.1,1.4652,0.6969,15
8,[1024],"[(1024, 'relu')]",0.97,512,0.01,0.001,1.4743,0.6984,15
9,[512],"[(512, 'relu')]",0.995,256,0.01,0.1,1.478,0.6719,16
10,[512],"[(512, 'relu')]",0.99,512,0.01,0.1,1.4826,0.6783,16
11,[1024],"[(1024, 'relu')]",0.995,512,0.01,0.1,1.4853,0.6927,16
12,[512],"[(512, 'relu')]",0.97,256,0.01,0.1,1.4944,0.6731,14
13,[1024],"[(1024, 'relu')]",0.995,256,0.01,0.1,1.4992,0.6749,14
14,[512],"[(512, 'relu')]",0.97,512,0.01,0.01,1.5011,0.6707,16
15,[1024],"[(1024, 'relu')]",0.99,512,0.01,0.01,1.51,0.694,16
16,[1024],"[(1024, 'relu')]",0.99,512,0.01,0.001,1.5197,0.6922,15
17,[512],"[(512, 'relu')]",0.97,512,0.01,0.1,1.5211,0.6681,15
18,[1024],"[(1024, 'relu')]",0.97,256,0.01,0.01,1.5249,0.6886,14
19,[512],"[(512, 'relu')]",0.99,256,0.01,0.1,1.528,0.6782,15
20,[1024],"[(1024, 'relu')]",0.97,512,0.01,0.01,1.5299,0.682,18
21,[256],"[(256, 'relu')]",0.97,512,0.01,0.1,1.5334,0.6445,16
22,[1024],"[(1024, 'relu')]",0.99,256,0.01,0.01,1.5378,0.6901,15
23,[512],"[(512, 'relu')]",0.97,256,0.01,0.01,1.5389,0.6988,14
24,[256],"[(256, 'relu')]",0.97,256,0.01,0.1,1.5409,0.6665,15
25,[1024],"[(1024, 'relu')]",0.97,256,0.01,0.001,1.5445,0.6811,15
26,[256],"[(256, 'relu')]",0.99,256,0.01,0.1,1.5557,0.6635,14
27,[256],"[(256, 'relu')]",0.995,512,0.01,0.1,1.559,0.6648,17
28,[512],"[(512, 'relu')]",0.99,256,0.01,0.01,1.5593,0.6796,16
29,[1024],"[(1024, 'relu')]",0.995,512,0.01,0.01,1.5651,0.69,15
30,[256],"[(256, 'relu')]",0.995,256,0.01,0.1,1.5669,0.6788,15
31,[512],"[(512, 'relu')]",0.99,512,0.01,0.001,1.57,0.674,15
32,[256],"[(256, 'relu')]",0.97,512,0.01,0.01,1.5768,0.6582,17
33,[512],"[(512, 'relu')]",0.995,512,0.01,0.1,1.585,0.6708,16
34,[256],"[(256, 'relu')]",0.99,512,0.01,0.1,1.5975,0.65,19
35,[512],"[(512, 'relu')]",0.99,64,0.01,0.1,1.6019,0.6685,12
36,[1024],"[(1024, 'relu')]",0.995,256,0.01,0.001,1.6072,0.6966,14
37,[128],"[(128, 'relu')]",0.97,64,0.01,0.1,1.611,0.6674,13
38,[512],"[(512, 'relu')]",0.995,512,0.01,0.001,1.615,0.6656,15
39,[512],"[(512, 'relu')]",0.995,256,0.01,0.01,1.6163,0.687,14
40,[1024],"[(1024, 'relu')]",0.995,256,0.01,0.01,1.6198,0.673,16
41,[256],"[(256, 'relu')]",0.97,512,0.01,0.001,1.621,0.6539,19
42,[256],"[(256, 'relu')]",0.995,64,0.01,0.1,1.623,0.6596,13
43,[256→64],"[(256, 'relu'), (64, 'relu')]",0.97,64,0.01,0.1,1.6231,0.6634,41
44,[128],"[(128, 'relu')]",0.99,64,0.01,0.1,1.6249,0.6389,13
