,layers,layers_config,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
45,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.97,64,0.01,0.1,1.6316,0.689,15
46,[512],"[(512, 'relu')]",0.97,256,0.01,0.001,1.6325,0.6679,14
47,[512],"[(512, 'relu')]",0.97,512,0.01,0.001,1.6365,0.6718,16
48,[1024],"[(1024, 'relu')]",0.995,512,0.01,0.001,1.6394,0.687,15
49,[512],"[(512, 'relu')]",0.995,256,0.01,0.001,1.645,0.6893,14
50,[512],"[(512, 'relu')]",0.995,512,0.01,0.01,1.6454,0.6796,16
51,[1024],"[(1024, 'relu')]",0.97,64,0.01,0.01,1.6473,0.6814,12
52,[128],"[(128, 'relu')]",0.97,512,0.01,0.1,1.6521,0.6408,17
53,[256],"[(256, 'relu')]",0.995,256,0.01,0.01,1.6638,0.6785,13
54,[128],"[(128, 'relu')]",0.995,256,0.01,0.1,1.6696,0.6419,16
55,[512→128],"[(512, 'relu'), (128, 'relu')]",0.97,512,0.01,0.1,1.673,0.6705,18
56,[128],"[(128, 'relu')]",0.99,512,0.01,0.1,1.6765,0.6296,18
57,[512],"[(512, 'relu')]",0.99,512,0.01,0.01,1.6812,0.6765,17
58,[128],"[(128, 'relu')]",0.99,256,0.01,0.1,1.6843,0.6527,15
59,[256],"[(256, 'relu')]",0.99,512,0.01,0.001,1.6863,0.6629,15
60,[512],"[(512, 'relu')]",0.99,256,0.01,0.001,1.6912,0.6848,15
61,[512→128],"[(512, 'relu'), (128, 'relu')]",0.99,512,0.01,0.1,1.6913,0.676,19
62,[256],"[(256, 'relu')]",0.995,512,0.01,0.001,1.6984,0.6429,17
63,[256],"[(256, 'relu')]",0.97,256,0.01,0.001,1.6989,0.6586,14
64,[128],"[(128, 'relu')]",0.995,64,0.01,0.1,1.7028,0.6651,14
65,[256],"[(256, 'relu')]",0.995,512,0.01,0.01,1.7028,0.649,17
66,[256],"[(256, 'relu')]",0.99,256,0.01,0.001,1.7035,0.6582,15
67,[1024],"[(1024, 'relu')]",0.99,256,0.01,0.001,1.7099,0.6785,15
68,[512→128],"[(512, 'relu'), (128, 'relu')]",0.995,512,0.01,0.01,1.7102,0.6778,16
69,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.97,256,0.01,0.1,1.7105,0.6816,16
70,[512→128],"[(512, 'relu'), (128, 'relu')]",0.995,256,0.01,0.1,1.713,0.6694,16
71,[256],"[(256, 'relu')]",0.97,256,0.01,0.01,1.7188,0.6519,15
72,[128],"[(128, 'relu')]",0.995,512,0.01,0.1,1.7229,0.6159,19
73,[512],"[(512, 'relu')]",0.97,64,0.01,0.01,1.7343,0.6822,12
74,[128],"[(128, 'relu')]",0.97,512,0.01,0.01,1.7356,0.6335,19
75,[512→128],"[(512, 'relu'), (128, 'relu')]",0.97,256,0.01,0.1,1.7412,0.6697,16
76,[128],"[(128, 'relu')]",0.97,512,0.01,0.001,1.7424,0.6257,17
77,[1024],"[(1024, 'relu')]",0.99,64,0.01,0.1,1.7428,0.6337,12
78,[256],"[(256, 'relu')]",0.99,512,0.01,0.01,1.7474,0.6505,16
79,[128],"[(128, 'relu')]",0.99,512,0.01,0.01,1.7479,0.6277,18
80,[512→128],"[(512, 'relu'), (128, 'relu')]",0.97,512,0.01,0.01,1.7479,0.6707,19
81,[512→128],"[(512, 'relu'), (128, 'relu')]",0.99,256,0.01,0.1,1.7483,0.6722,16
82,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.97,512,0.01,0.01,1.7524,0.674,19
83,[128],"[(128, 'relu')]",0.97,256,0.01,0.1,1.7534,0.6497,15
84,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.97,512,0.01,0.1,1.7596,0.6516,19
85,[256],"[(256, 'relu')]",0.97,64,0.01,0.01,1.7639,0.6586,12
86,[128],"[(128, 'relu')]",0.97,256,0.01,0.01,1.7656,0.6405,16
87,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.995,512,0.01,0.1,1.7657,0.6421,18
88,[128],"[(128, 'relu')]",0.97,256,0.01,0.001,1.7693,0.628,15
89,[512→128],"[(512, 'relu'), (128, 'relu')]",0.97,512,0.01,0.001,1.7712,0.6422,18
90,[512→128],"[(512, 'relu'), (128, 'relu')]",0.97,64,0.01,0.1,1.7713,0.6268,15
91,[256],"[(256, 'relu')]",0.99,256,0.01,0.01,1.7731,0.6574,15
92,[1024],"[(1024, 'relu')]",0.995,64,0.01,0.1,1.7899,0.6519,13
93,[128],"[(128, 'relu')]",0.99,512,0.01,0.001,1.7904,0.6267,18
94,[256],"[(256, 'relu')]",0.995,256,0.01,0.001,1.7927,0.6561,14
95,[256],"[(256, 'relu')]",0.97,64,0.01,0.001,1.797,0.6545,13
96,[1024],"[(1024, 'relu')]",0.97,64,0.01,0.001,1.8034,0.6837,13
97,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.99,512,0.01,0.1,1.8228,0.6342,21
98,[256→64],"[(256, 'relu'), (64, 'relu')]",0.97,512,0.01,0.1,1.8244,0.6358,19
99,[128],"[(128, 'relu')]",0.995,512,0.01,0.01,1.8288,0.6119,18
100,[512→128],"[(512, 'relu'), (128, 'relu')]",0.995,512,0.01,0.001,1.8329,0.6684,17
101,[512→128],"[(512, 'relu'), (128, 'relu')]",0.995,512,0.01,0.1,1.8346,0.6474,20
102,[512],"[(512, 'relu')]",0.97,64,0.01,0.001,1.8377,0.6724,14
103,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.995,512,0.01,0.001,1.8409,0.6572,17
104,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.995,256,0.01,0.01,1.8474,0.6823,15
105,[128→64],"[(128, 'relu'), (64, 'relu')]",0.97,512,0.01,0.1,1.8604,0.5912,18
106,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.97,512,0.01,0.001,1.8711,0.6216,19
107,[128→64],"[(128, 'relu'), (64, 'relu')]",0.995,512,0.01,0.01,1.875,0.6338,16
108,[512],"[(512, 'relu')]",0.99,64,0.01,0.01,1.8798,0.6871,13
109,[256→64],"[(256, 'relu'), (64, 'relu')]",0.97,256,0.01,0.1,1.8831,0.6313,17
110,[128],"[(128, 'relu')]",0.995,256,0.01,0.001,1.8874,0.6419,15
111,[128],"[(128, 'relu')]",0.99,256,0.01,0.01,1.8895,0.635,15
112,[256],"[(256, 'relu')]",0.99,64,0.01,0.001,1.8919,0.7002,13
113,[128→64],"[(128, 'relu'), (64, 'relu')]",0.99,256,0.01,0.1,1.8939,0.6245,16
114,[128],"[(128, 'relu')]",0.97,64,0.01,0.01,1.9028,0.6474,14
115,[256→64],"[(256, 'relu'), (64, 'relu')]",0.99,512,0.01,0.1,1.906,0.6259,19
116,[128],"[(128, 'relu')]",0.995,512,0.01,0.001,1.908,0.6343,19
117,[256→64],"[(256, 'relu'), (64, 'relu')]",0.995,256,0.01,0.1,1.914,0.644,16
118,[512→128],"[(512, 'relu'), (128, 'relu')]",0.99,512,0.01,0.01,1.919,0.6238,19
119,[128→64],"[(128, 'relu'), (64, 'relu')]",0.97,512,0.01,0.01,1.9224,0.6153,18
120,[512→128],"[(512, 'relu'), (128, 'relu')]",0.97,256,0.01,0.01,1.923,0.649,15
121,[256→64],"[(256, 'relu'), (64, 'relu')]",0.97,512,0.01,0.01,1.9256,0.6198,18
122,[128→64],"[(128, 'relu'), (64, 'relu')]",0.99,512,0.01,0.1,1.9257,0.6134,19
123,[128→64],"[(128, 'relu'), (64, 'relu')]",0.97,512,0.01,0.001,1.9288,0.6255,18
124,[128→64],"[(128, 'relu'), (64, 'relu')]",0.995,512,0.01,0.1,1.932,0.6233,19
125,[128],"[(128, 'relu')]",0.995,256,0.01,0.01,1.9373,0.6367,16
126,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.995,256,0.01,0.1,1.9378,0.6364,16
127,[512→128],"[(512, 'relu'), (128, 'relu')]",0.99,64,0.01,0.1,1.9403,0.6211,14
128,[256→64],"[(256, 'relu'), (64, 'relu')]",0.97,512,0.01,0.001,1.9404,0.6289,21
129,[256],"[(256, 'relu')]",0.995,64,0.01,0.001,1.9443,0.6431,13
130,[512→128],"[(512, 'relu'), (128, 'relu')]",0.97,256,0.01,0.001,1.9497,0.6601,14
131,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.99,512,0.01,0.001,1.9618,0.6388,19
132,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.995,512,0.01,0.01,1.9623,0.6342,20
133,[128→64],"[(128, 'relu'), (64, 'relu')]",0.97,64,0.01,0.1,1.9636,0.6137,14
134,[128],"[(128, 'relu')]",0.99,256,0.01,0.001,1.9698,0.627,15
135,[256→64],"[(256, 'relu'), (64, 'relu')]",0.99,512,0.01,0.001,1.9766,0.6034,18
136,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.99,64,0.01,0.1,1.9817,0.6363,14
137,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.99,256,0.01,0.1,1.997,0.6398,16
138,[128→64],"[(128, 'relu'), (64, 'relu')]",0.995,256,0.01,0.1,2.0024,0.6231,15
139,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.99,512,0.01,0.01,2.0048,0.6437,21
140,[512→128],"[(512, 'relu'), (128, 'relu')]",0.99,256,0.01,0.001,2.0066,0.6439,14
141,[128→64],"[(128, 'relu'), (64, 'relu')]",0.97,256,0.01,0.1,2.0155,0.608,17
142,[512→128],"[(512, 'relu'), (128, 'relu')]",0.99,512,0.01,0.001,2.0156,0.6671,18
143,[512→128],"[(512, 'relu'), (128, 'relu')]",0.995,256,0.01,0.01,2.0262,0.6518,16
144,[256],"[(256, 'relu')]",0.99,64,0.01,0.1,2.0268,0.671,35
145,[128→64],"[(128, 'relu'), (64, 'relu')]",0.99,64,0.01,0.1,2.03,0.6027,14
146,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.995,64,0.01,0.1,2.0359,0.6345,14
147,[128],"[(128, 'relu')]",0.97,64,0.01,0.001,2.0371,0.6503,14
148,[512],"[(512, 'relu')]",0.995,64,0.01,0.1,2.0391,0.662,23
149,[256→64],"[(256, 'relu'), (64, 'relu')]",0.995,512,0.01,0.1,2.0428,0.6083,19
150,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.99,256,0.01,0.01,2.0492,0.6633,15
151,[256],"[(256, 'relu')]",0.99,64,0.01,0.01,2.0517,0.6512,13
152,[256→64],"[(256, 'relu'), (64, 'relu')]",0.99,512,0.01,0.01,2.0571,0.6172,18
153,[256→64],"[(256, 'relu'), (64, 'relu')]",0.995,512,0.01,0.001,2.0591,0.6223,17
154,[128→64],"[(128, 'relu'), (64, 'relu')]",0.99,512,0.01,0.01,2.0597,0.6284,17
155,[512→128],"[(512, 'relu'), (128, 'relu')]",0.995,256,0.01,0.001,2.0611,0.6705,16
156,[512],"[(512, 'relu')]",0.995,64,0.01,0.001,2.0664,0.6633,13
157,[1024],"[(1024, 'relu')]",0.99,64,0.01,0.01,2.0675,0.6563,13
158,[256→64],"[(256, 'relu'), (64, 'relu')]",0.99,256,0.01,0.001,2.0716,0.6314,16
159,[128→64],"[(128, 'relu'), (64, 'relu')]",0.97,256,0.01,0.01,2.0731,0.6153,17
160,[256→64],"[(256, 'relu'), (64, 'relu')]",0.99,256,0.01,0.1,2.0743,0.6348,16
161,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.97,64,0.01,0.01,2.0882,0.6294,15
162,[256→64],"[(256, 'relu'), (64, 'relu')]",0.99,64,0.01,0.1,2.0992,0.5879,14
163,[128],"[(128, 'relu')]",0.99,64,0.01,0.01,2.1006,0.6381,12
164,[128],"[(128, 'relu')]",0.995,64,0.01,0.01,2.1022,0.6508,14
165,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.99,256,0.01,0.001,2.1079,0.6397,17
166,[256→64],"[(256, 'relu'), (64, 'relu')]",0.995,64,0.01,0.1,2.1198,0.593,13
167,[256→64],"[(256, 'relu'), (64, 'relu')]",0.97,256,0.01,0.01,2.1211,0.6265,15
168,[128→64],"[(128, 'relu'), (64, 'relu')]",0.97,256,0.01,0.001,2.1278,0.6231,14
169,[256→64],"[(256, 'relu'), (64, 'relu')]",0.97,256,0.01,0.001,2.1386,0.624,16
170,[128→64],"[(128, 'relu'), (64, 'relu')]",0.99,512,0.01,0.001,2.1418,0.6286,18
171,[512→128],"[(512, 'relu'), (128, 'relu')]",0.99,256,0.01,0.01,2.1574,0.6312,15
172,[128→64],"[(128, 'relu'), (64, 'relu')]",0.995,64,0.01,0.1,2.1627,0.5875,13
173,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.995,256,0.01,0.001,2.1629,0.6583,17
174,[128→64],"[(128, 'relu'), (64, 'relu')]",0.995,512,0.01,0.001,2.1797,0.5931,17
175,[256→64],"[(256, 'relu'), (64, 'relu')]",0.995,512,0.01,0.01,2.1805,0.6068,19
176,[512],"[(512, 'relu')]",0.99,64,0.01,0.001,2.1816,0.6551,12
177,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.97,256,0.01,0.01,2.1923,0.6075,17
178,[128],"[(128, 'relu')]",0.99,64,0.01,0.001,2.1994,0.6416,13
179,[256→64],"[(256, 'relu'), (64, 'relu')]",0.99,256,0.01,0.01,2.217,0.6331,16
180,[256→64],"[(256, 'relu'), (64, 'relu')]",0.995,256,0.01,0.001,2.2232,0.616,14
181,[512→128],"[(512, 'relu'), (128, 'relu')]",0.995,64,0.01,0.1,2.2325,0.6211,15
182,[256],"[(256, 'relu')]",0.995,64,0.01,0.01,2.2401,0.5987,13
183,[128→64],"[(128, 'relu'), (64, 'relu')]",0.99,256,0.01,0.01,2.2453,0.6142,15
184,[128→64],"[(128, 'relu'), (64, 'relu')]",0.995,256,0.01,0.01,2.2645,0.6351,16
185,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.97,256,0.01,0.001,2.2694,0.6132,16
186,[1024],"[(1024, 'relu')]",0.995,64,0.01,0.01,2.3149,0.6449,12
187,[256→64],"[(256, 'relu'), (64, 'relu')]",0.995,256,0.01,0.01,2.3323,0.6209,16
188,[128→64],"[(128, 'relu'), (64, 'relu')]",0.99,256,0.01,0.001,2.3346,0.5946,15
189,[128→64],"[(128, 'relu'), (64, 'relu')]",0.995,256,0.01,0.001,2.3369,0.6137,14
190,[512],"[(512, 'relu')]",0.995,64,0.01,0.01,2.3375,0.6159,13
191,[512→128],"[(512, 'relu'), (128, 'relu')]",0.97,64,0.01,0.001,2.3554,0.6505,13
192,[128],"[(128, 'relu')]",0.995,64,0.01,0.001,2.3663,0.6133,13
193,[128→64],"[(128, 'relu'), (64, 'relu')]",0.97,64,0.01,0.01,2.4182,0.6246,14
194,[1024],"[(1024, 'relu')]",0.99,64,0.01,0.001,2.4474,0.6299,12
195,[512→128],"[(512, 'relu'), (128, 'relu')]",0.97,64,0.01,0.01,2.4589,0.63,14
196,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.97,256,0.1,0.1,2.5672,0.4792,46
197,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.995,256,0.1,0.1,2.5949,0.3366,27
198,[256→64],"[(256, 'relu'), (64, 'relu')]",0.97,64,0.01,0.001,2.5986,0.6143,13
199,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.995,512,0.1,0.1,2.6029,0.4252,50
200,[1024],"[(1024, 'relu')]",0.995,64,0.01,0.001,2.6261,0.633,12
201,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.97,64,0.01,0.001,2.6396,0.613,14
202,[1024],"[(1024, 'relu')]",0.99,512,0.1,0.1,2.6698,0.4262,24
203,[1024],"[(1024, 'relu')]",0.97,512,0.1,0.1,2.6873,0.4798,22
204,[512],"[(512, 'relu')]",0.97,512,0.1,0.1,2.7068,0.463,29
205,[1024],"[(1024, 'relu')]",0.995,512,0.1,0.1,2.7137,0.4542,28
206,[128→64],"[(128, 'relu'), (64, 'relu')]",0.97,64,0.01,0.001,2.7154,0.6036,14
207,[128],"[(128, 'relu')]",0.995,512,0.1,0.1,2.72,0.3934,34
208,[256],"[(256, 'relu')]",0.995,256,0.1,0.1,2.7275,0.4277,67
209,[256→64],"[(256, 'relu'), (64, 'relu')]",0.97,64,0.01,0.01,2.7342,0.6054,15
210,[512],"[(512, 'relu')]",0.99,512,0.1,0.1,2.7423,0.4039,25
211,[256],"[(256, 'relu')]",0.99,256,0.1,0.1,2.7473,0.4059,49
212,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.99,256,0.1,0.1,2.7495,0.2775,32
213,[256],"[(256, 'relu')]",0.99,512,0.1,0.1,2.7509,0.3787,23
214,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.97,64,0.1,0.1,2.7545,0.2621,75
215,[128→64],"[(128, 'relu'), (64, 'relu')]",0.97,256,0.1,0.1,2.7609,0.3494,39
216,[128],"[(128, 'relu')]",0.97,64,0.1,0.1,2.7614,0.2793,76
217,[512],"[(512, 'relu')]",0.97,64,0.1,0.1,2.7674,0.2746,87
218,[512→128],"[(512, 'relu'), (128, 'relu')]",0.995,512,0.1,0.1,2.7703,0.2968,53
219,[1024],"[(1024, 'relu')]",0.995,256,0.1,0.1,2.7761,0.3822,33
220,[256],"[(256, 'relu')]",0.97,64,0.1,0.1,2.7772,0.2558,92
221,[256],"[(256, 'relu')]",0.995,512,0.1,0.1,2.786,0.4045,29
222,[512→128],"[(512, 'relu'), (128, 'relu')]",0.995,64,0.01,0.001,2.7954,0.598,13
223,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.97,512,0.1,0.1,2.8033,0.3369,51
224,[256→64],"[(256, 'relu'), (64, 'relu')]",0.995,256,0.1,0.1,2.8053,0.2407,47
225,[256→64],"[(256, 'relu'), (64, 'relu')]",0.99,64,0.01,0.01,2.811,0.5746,15
226,[128],"[(128, 'relu')]",0.995,256,0.1,0.1,2.8205,0.3569,48
227,[512→128],"[(512, 'relu'), (128, 'relu')]",0.995,64,0.01,0.01,2.8212,0.6118,14
228,[128],"[(128, 'relu')]",0.99,256,0.1,0.1,2.8254,0.3748,36
229,[512→128],"[(512, 'relu'), (128, 'relu')]",0.97,256,0.1,0.1,2.8297,0.3343,46
230,[128→64],"[(128, 'relu'), (64, 'relu')]",0.995,64,0.01,0.01,2.8377,0.5857,13
231,[128],"[(128, 'relu')]",0.97,256,0.1,0.1,2.8397,0.407,33
232,[256],"[(256, 'relu')]",0.97,256,0.1,0.1,2.8449,0.4094,37
233,[256→64],"[(256, 'relu'), (64, 'relu')]",0.99,256,0.1,0.1,2.8517,0.3115,47
234,[128],"[(128, 'relu')]",0.99,512,0.1,0.1,2.8535,0.4105,42
235,[1024],"[(1024, 'relu')]",0.97,256,0.1,0.1,2.8614,0.3966,20
236,[1024],"[(1024, 'relu')]",0.97,64,0.1,0.1,2.8619,0.3381,68
237,[128],"[(128, 'relu')]",0.97,512,0.1,0.1,2.87,0.3712,26
238,[512],"[(512, 'relu')]",0.99,256,0.1,0.1,2.8908,0.3257,29
239,[256→64],"[(256, 'relu'), (64, 'relu')]",0.97,512,0.1,0.1,2.8912,0.3694,52
240,[128→64],"[(128, 'relu'), (64, 'relu')]",0.99,64,0.01,0.01,2.893,0.5601,13
241,[512→128],"[(512, 'relu'), (128, 'relu')]",0.99,256,0.1,0.1,2.91,0.2458,92
242,[128→64],"[(128, 'relu'), (64, 'relu')]",0.99,512,0.1,0.1,2.9185,0.2622,31
243,[1024],"[(1024, 'relu')]",0.99,256,0.1,0.1,2.9196,0.3958,33
244,[256],"[(256, 'relu')]",0.97,512,0.1,0.1,2.9288,0.4818,31
245,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.99,64,0.01,0.001,2.9431,0.6009,14
246,[512→128],"[(512, 'relu'), (128, 'relu')]",0.99,64,0.01,0.01,2.9559,0.5814,15
247,[512→128],"[(512, 'relu'), (128, 'relu')]",0.97,64,0.1,0.1,2.9618,0.1731,74
248,[512→128],"[(512, 'relu'), (128, 'relu')]",0.99,512,0.1,0.1,2.9625,0.2405,61
249,[256→64],"[(256, 'relu'), (64, 'relu')]",0.99,64,0.01,0.001,2.9633,0.5878,13
250,[512→128],"[(512, 'relu'), (128, 'relu')]",0.99,64,0.01,0.001,2.9636,0.602,13
251,[512],"[(512, 'relu')]",0.995,512,0.1,0.1,2.9849,0.3879,32
252,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.99,256,0.1,0.001,2.9875,0.2407,25
253,[512],"[(512, 'relu')]",0.995,256,0.1,0.1,3.0059,0.3826,53
254,[512],"[(512, 'relu')]",0.97,256,0.1,0.1,3.0161,0.4209,40
255,[256→64],"[(256, 'relu'), (64, 'relu')]",0.97,256,0.1,0.1,3.0187,0.1873,38
256,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.99,64,0.01,0.01,3.0201,0.5845,14
257,[128],"[(128, 'relu')]",0.97,512,0.1,0.01,3.0415,0.3287,20
258,[512],"[(512, 'relu')]",0.99,512,0.1,0.01,3.0443,0.2818,21
259,[128→64],"[(128, 'relu'), (64, 'relu')]",0.995,256,0.1,0.1,3.0445,0.2083,49
260,[512],"[(512, 'relu')]",0.97,512,0.1,0.01,3.0453,0.4145,20
261,[256],"[(256, 'relu')]",0.97,512,0.1,0.001,3.0639,0.377,21
262,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.99,512,0.1,0.1,3.0727,0.2414,49
263,[256→64],"[(256, 'relu'), (64, 'relu')]",0.995,64,0.01,0.01,3.0781,0.5633,13
264,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.995,512,0.1,0.01,3.0902,0.2527,25
265,[512→128],"[(512, 'relu'), (128, 'relu')]",0.99,256,0.1,0.01,3.0978,0.2273,32
266,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.995,256,0.1,0.001,3.1001,0.2057,33
267,[512→128],"[(512, 'relu'), (128, 'relu')]",0.97,512,0.1,0.1,3.1003,0.2405,43
268,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.97,256,0.1,0.001,3.1074,0.3157,33
269,[256→64],"[(256, 'relu'), (64, 'relu')]",0.995,512,0.1,0.1,3.1091,0.1923,60
270,[512→128],"[(512, 'relu'), (128, 'relu')]",0.995,256,0.1,0.1,3.1104,0.1449,37
271,[512],"[(512, 'relu')]",0.97,256,0.1,0.01,3.1152,0.3493,21
272,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.995,64,0.01,0.001,3.1218,0.5758,15
273,[256],"[(256, 'relu')]",0.99,512,0.1,0.001,3.128,0.3154,15
274,[1024],"[(1024, 'relu')]",0.995,256,0.1,0.01,3.1339,0.316,19
275,[128→64],"[(128, 'relu'), (64, 'relu')]",0.995,512,0.1,0.1,3.1412,0.1808,95
276,[512→128],"[(512, 'relu'), (128, 'relu')]",0.995,512,0.1,0.01,3.1518,0.212,25
277,[1024],"[(1024, 'relu')]",0.97,512,0.1,0.001,3.1546,0.3517,20
278,[256→64],"[(256, 'relu'), (64, 'relu')]",0.995,64,0.01,0.001,3.1546,0.5802,14
279,[256],"[(256, 'relu')]",0.995,512,0.1,0.001,3.1573,0.3106,20
280,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.995,64,0.01,0.01,3.1574,0.5605,14
281,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.99,512,0.1,0.01,3.1619,0.187,28
282,[256→64],"[(256, 'relu'), (64, 'relu')]",0.99,512,0.1,0.1,3.1782,0.1397,63
283,[1024],"[(1024, 'relu')]",0.995,512,0.1,0.01,3.184,0.3735,31
284,[256→64],"[(256, 'relu'), (64, 'relu')]",0.99,256,0.1,0.01,3.1841,0.178,27
285,[256],"[(256, 'relu')]",0.97,256,0.1,0.001,3.1977,0.2613,16
286,[128],"[(128, 'relu')]",0.97,256,0.1,0.01,3.1996,0.2833,25
