,layers,layers_config,dropout,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
1,[512],"[(512, 'gelu')]",0.5,0.97,512,0.01,0.001,1.3004,0.6952,18
2,[512],"[(512, 'gelu')]",0.5,0.97,512,0.01,0.1,1.3051,0.6873,20
3,[512],"[(512, 'silu')]",0.5,0.97,258,0.01,0.1,1.3234,0.6921,17
4,[256],"[(256, 'gelu')]",0.5,0.97,512,0.01,0.1,1.3371,0.6726,22
5,[512],"[(512, 'leaky_relu')]",0.5,0.97,258,0.01,0.1,1.3417,0.6705,18
6,[512],"[(512, 'silu')]",0.5,0.99,512,0.01,0.1,1.345,0.6867,20
7,[256],"[(256, 'silu')]",0.5,0.97,512,0.01,0.1,1.3453,0.6922,36
8,[512],"[(512, 'silu')]",0.5,0.97,512,0.01,0.01,1.347,0.6911,19
9,[256],"[(256, 'leaky_relu')]",0.5,0.97,512,0.01,0.1,1.3518,0.6709,31
10,[512],"[(512, 'leaky_relu')]",0.5,0.97,512,0.01,0.1,1.3558,0.6947,27
11,[512],"[(512, 'silu')]",0.5,0.97,512,0.01,0.001,1.3563,0.6976,20
12,[256],"[(256, 'silu')]",0.5,0.97,512,0.01,0.001,1.3578,0.6701,20
13,[512],"[(512, 'silu')]",0.5,0.97,512,0.01,0.1,1.3579,0.6943,20
14,[512],"[(512, 'leaky_relu')]",0.5,0.97,512,0.01,0.001,1.3579,0.6804,20
15,[512],"[(512, 'gelu')]",0.5,0.97,512,0.01,0.01,1.378,0.6852,22
16,[512],"[(512, 'gelu')]",0.5,0.99,258,0.01,0.1,1.3794,0.6756,15
17,[512],"[(512, 'gelu')]",0.5,0.99,512,0.01,0.1,1.3802,0.6815,21
18,[512],"[(512, 'leaky_relu')]",0.5,0.97,512,0.01,0.01,1.3804,0.6737,22
19,[512],"[(512, 'gelu')]",0.3,0.97,512,0.01,0.1,1.388,0.6805,17
20,[512],"[(512, 'gelu')]",0.5,0.97,258,0.01,0.1,1.3883,0.6693,18
21,[256],"[(256, 'gelu')]",0.5,0.97,512,0.01,0.01,1.3888,0.6621,21
22,[256],"[(256, 'gelu')]",0.5,0.97,512,0.01,0.001,1.3912,0.6668,23
23,[512],"[(512, 'leaky_relu')]",0.5,0.99,512,0.01,0.1,1.393,0.6859,20
24,[256],"[(256, 'leaky_relu')]",0.5,0.97,512,0.01,0.001,1.3938,0.6657,22
25,[256],"[(256, 'gelu')]",0.5,0.99,512,0.01,0.001,1.3946,0.6638,21
26,[256],"[(256, 'silu')]",0.3,0.97,512,0.01,0.1,1.3948,0.68,20
27,[512],"[(512, 'leaky_relu')]",0.5,0.99,512,0.01,0.01,1.3949,0.6875,26
28,[512],"[(512, 'silu')]",0.5,0.99,258,0.01,0.1,1.3953,0.6965,15
29,[512],"[(512, 'gelu')]",0.5,0.97,258,0.01,0.001,1.399,0.6834,17
30,[256],"[(256, 'leaky_relu')]",0.5,0.99,512,0.01,0.1,1.4011,0.6766,25
31,[256],"[(256, 'leaky_relu')]",0.5,0.97,258,0.01,0.1,1.4048,0.664,24
32,[512],"[(512, 'silu')]",0.3,0.97,512,0.01,0.1,1.4055,0.6762,17
33,[512],"[(512, 'silu')]",0.5,0.97,258,0.01,0.01,1.4081,0.6785,16
34,[512],"[(512, 'leaky_relu')]",0.5,0.99,258,0.01,0.1,1.4083,0.6999,21
35,[256],"[(256, 'silu')]",0.5,0.97,258,0.01,0.1,1.4083,0.6709,23
36,[256→64],"[(256, 'gelu'), (64, 'silu')]",0.3,0.97,512,0.01,0.1,1.4093,0.6457,22
37,[512],"[(512, 'leaky_relu')]",0.5,0.97,258,0.01,0.01,1.4113,0.6754,20
38,[256],"[(256, 'silu')]",0.3,0.97,258,0.01,0.1,1.4162,0.6825,18
39,[256],"[(256, 'leaky_relu')]",0.3,0.97,512,0.01,0.1,1.4192,0.6754,21
40,[256],"[(256, 'gelu')]",0.5,0.97,258,0.01,0.01,1.4202,0.6743,19
41,[512],"[(512, 'silu')]",0.3,0.99,512,0.01,0.1,1.4206,0.6934,18
42,[512],"[(512, 'gelu')]",0.3,0.97,258,0.01,0.001,1.4218,0.6917,15
43,[256],"[(256, 'silu')]",0.5,0.99,512,0.01,0.1,1.4221,0.6743,19
44,[512],"[(512, 'leaky_relu')]",0.5,0.99,512,0.01,0.001,1.4246,0.6848,25
45,[512],"[(512, 'gelu')]",0.3,0.97,512,0.01,0.01,1.4257,0.6839,17
46,[512],"[(512, 'gelu')]",0.1,0.97,258,0.01,0.1,1.4262,0.6797,13
47,[256],"[(256, 'silu')]",0.5,0.97,512,0.01,0.01,1.4266,0.6708,20
