,layers,layers_config,dropout,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
1,[512],"[(512, 'leaky_relu')]",0.5,0.96,512,0.01,0.1,1.2926,0.6986,22
2,[512],"[(512, 'leaky_relu')]",0.5,0.975,512,0.01,0.1,1.3237,0.6771,18
3,[512],"[(512, 'silu')]",0.5,0.975,258,0.01,0.1,1.3501,0.6875,15
4,[512],"[(512, 'silu')]",0.5,0.96,512,0.01,0.1,1.352,0.6968,20
5,[512],"[(512, 'gelu')]",0.5,0.975,512,0.01,0.1,1.3585,0.6819,21
6,[512],"[(512, 'silu')]",0.5,0.999,512,0.01,0.1,1.3643,0.6937,21
7,[512],"[(512, 'leaky_relu')]",0.5,0.975,512,0.01,0.01,1.3682,0.6679,21
8,[256],"[(256, 'silu')]",0.5,0.96,512,0.01,0.1,1.3686,0.6699,20
9,[256],"[(256, 'gelu')]",0.5,0.96,512,0.01,0.1,1.3721,0.6806,22
10,[256],"[(256, 'leaky_relu')]",0.5,0.999,512,0.01,0.1,1.3756,0.6663,24
11,[512],"[(512, 'leaky_relu')]",0.3,0.975,512,0.01,0.1,1.3805,0.6864,15
12,[256],"[(256, 'silu')]",0.5,0.999,512,0.01,0.1,1.3818,0.6661,19
13,[512],"[(512, 'gelu')]",0.5,0.975,258,0.01,0.1,1.3824,0.6945,18
14,[512],"[(512, 'leaky_relu')]",0.3,0.999,512,0.01,0.001,1.3844,0.7057,18
15,[512],"[(512, 'leaky_relu')]",0.3,0.96,512,0.01,0.1,1.3844,0.6911,18
16,[512],"[(512, 'gelu')]",0.5,0.96,258,0.01,0.1,1.3891,0.6869,17
17,[512],"[(512, 'leaky_relu')]",0.5,0.999,512,0.01,0.1,1.39,0.6936,24
18,[512],"[(512, 'silu')]",0.5,0.975,512,0.01,0.01,1.391,0.6974,20
19,[512],"[(512, 'silu')]",0.3,0.975,258,0.01,0.1,1.3937,0.6993,15
20,[512],"[(512, 'silu')]",0.1,0.999,258,0.01,0.1,1.397,0.7006,14
21,[512],"[(512, 'gelu')]",0.5,0.999,512,0.01,0.1,1.3971,0.6693,22
22,[512],"[(512, 'gelu')]",0.5,0.975,512,0.01,0.01,1.3971,0.6735,20
23,[512],"[(512, 'silu')]",0.5,0.999,512,0.01,0.001,1.3983,0.69,18
24,[512],"[(512, 'leaky_relu')]",0.5,0.975,512,0.01,0.001,1.3991,0.6885,17
25,[256],"[(256, 'gelu')]",0.3,0.96,512,0.01,0.1,1.4023,0.6764,17
26,[512],"[(512, 'gelu')]",0.3,0.975,512,0.01,0.1,1.4029,0.6874,17
27,[512],"[(512, 'gelu')]",0.3,0.999,512,0.01,0.1,1.4034,0.6907,23
28,[512],"[(512, 'leaky_relu')]",0.5,0.999,512,0.01,0.001,1.4035,0.6926,19
29,[256],"[(256, 'leaky_relu')]",0.5,0.975,512,0.01,0.1,1.4048,0.656,22
30,[256],"[(256, 'gelu')]",0.5,0.975,512,0.01,0.001,1.4053,0.6574,22
31,[512],"[(512, 'silu')]",0.5,0.96,258,0.01,0.1,1.4103,0.6807,16
32,[512],"[(512, 'leaky_relu')]",0.5,0.975,258,0.01,0.1,1.411,0.6878,17
33,[512],"[(512, 'silu')]",0.5,0.975,512,0.01,0.001,1.4122,0.6929,19
34,[512],"[(512, 'silu')]",0.5,0.999,258,0.01,0.1,1.4132,0.6769,17
35,[256],"[(256, 'leaky_relu')]",0.5,0.975,258,0.01,0.1,1.4139,0.6636,20
36,[512],"[(512, 'gelu')]",0.5,0.96,512,0.01,0.1,1.4152,0.6734,19
