,layers,layers_config,dropout,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
1,[1024],"[(1024, 'gelu')]",0.5,0.975,258,0.01,0.25,1.1207,0.7231,71
2,[1024],"[(1024, 'gelu')]",0.5,0.9,258,0.01,0.25,1.1452,0.7125,21
3,[1024],"[(1024, 'gelu')]",0.3,0.96,258,0.01,0.25,1.1473,0.7211,61
4,[1024],"[(1024, 'gelu')]",0.5,0.95,258,0.01,0.25,1.1495,0.7219,43
5,[1024],"[(1024, 'gelu')]",0.3,0.95,258,0.01,0.25,1.1519,0.7121,50
6,[1024],"[(1024, 'silu')]",0.5,0.96,258,0.01,0.25,1.1603,0.7251,50
7,[1024],"[(1024, 'silu')]",0.5,0.9,258,0.01,0.2,1.167,0.7018,24
8,[1024],"[(1024, 'gelu')]",0.5,0.96,258,0.01,0.2,1.1706,0.7291,79
9,[1024],"[(1024, 'leaky_relu')]",0.5,0.9,258,0.01,0.2,1.1722,0.7072,26
10,[1024],"[(1024, 'gelu')]",0.3,0.95,258,0.01,0.2,1.1736,0.7216,43
11,[512],"[(512, 'silu')]",0.5,0.975,258,0.01,0.25,1.1743,0.7108,57
12,[1024],"[(1024, 'gelu')]",0.5,0.9,512,0.01,0.15,1.1762,0.7127,38
13,[1024],"[(1024, 'gelu')]",0.5,0.9,258,0.01,0.2,1.1825,0.7034,40
14,[1024],"[(1024, 'silu')]",0.5,0.975,258,0.01,0.2,1.1839,0.7178,32
15,[1024],"[(1024, 'silu')]",0.5,0.9,258,0.01,0.25,1.1875,0.7088,33
16,[1024],"[(1024, 'leaky_relu')]",0.5,0.9,512,0.01,0.2,1.1876,0.7042,31
17,[1024],"[(1024, 'silu')]",0.5,0.9,512,0.01,0.15,1.1889,0.7098,20
18,[1024],"[(1024, 'gelu')]",0.5,0.9,512,0.01,0.25,1.1926,0.6929,23
19,[1024],"[(1024, 'leaky_relu')]",0.5,0.9,258,0.01,0.25,1.1938,0.7096,25
20,[1024],"[(1024, 'gelu')]",0.3,0.975,258,0.01,0.25,1.1938,0.7102,61
21,[512],"[(512, 'silu')]",0.5,0.9,258,0.01,0.2,1.1944,0.6989,29
22,[1024],"[(1024, 'leaky_relu')]",0.1,0.95,258,0.01,0.25,1.1948,0.7123,39
23,[1024],"[(1024, 'leaky_relu')]",0.3,0.9,512,0.01,0.25,1.1949,0.711,42
24,[1024],"[(1024, 'silu')]",0.5,0.9,512,0.01,0.1,1.1957,0.7083,37
25,[1024],"[(1024, 'silu')]",0.5,0.95,258,0.01,0.25,1.1967,0.7051,16
26,[512],"[(512, 'leaky_relu')]",0.5,0.9,258,0.01,0.25,1.1972,0.6973,42
27,[1024],"[(1024, 'leaky_relu')]",0.5,0.9,512,0.01,0.25,1.1978,0.6899,26
28,[512],"[(512, 'gelu')]",0.5,0.95,258,0.01,0.25,1.1999,0.7012,24
29,[512],"[(512, 'silu')]",0.5,0.9,512,0.01,0.25,1.2004,0.7002,27
30,[512],"[(512, 'silu')]",0.5,0.9,258,0.01,0.25,1.2004,0.7059,25
31,[512],"[(512, 'silu')]",0.5,0.95,258,0.01,0.2,1.2004,0.7233,54
32,[1024],"[(1024, 'gelu')]",0.1,0.975,258,0.01,0.25,1.2016,0.72,57
33,[1024],"[(1024, 'leaky_relu')]",0.5,0.96,258,0.01,0.25,1.2026,0.7048,34
34,[1024],"[(1024, 'leaky_relu')]",0.3,0.9,258,0.01,0.25,1.2031,0.7023,21
35,[512],"[(512, 'gelu')]",0.5,0.9,258,0.01,0.25,1.2055,0.6875,28
36,[1024],"[(1024, 'gelu')]",0.5,0.96,258,0.01,0.25,1.2067,0.6917,20
37,[1024],"[(1024, 'silu')]",0.5,0.9,258,0.01,0.1,1.2078,0.7051,16
38,[1024],"[(1024, 'silu')]",0.5,0.9,512,0.01,0.25,1.2086,0.6883,33
39,[512],"[(512, 'gelu')]",0.5,0.9,258,0.01,0.2,1.2091,0.6965,27
40,[1024],"[(1024, 'leaky_relu')]",0.5,0.9,512,0.01,0.15,1.2093,0.7073,33
41,[1024],"[(1024, 'leaky_relu')]",0.3,0.9,258,0.01,0.2,1.2093,0.7083,28
42,[1024],"[(1024, 'silu')]",0.3,0.96,258,0.01,0.25,1.2117,0.705,58
43,[1024],"[(1024, 'leaky_relu')]",0.5,0.95,258,0.01,0.2,1.2124,0.7098,34
44,[512],"[(512, 'gelu')]",0.5,0.9,258,0.01,0.15,1.2124,0.6935,22
45,[1024],"[(1024, 'gelu')]",0.5,0.9,512,0.01,0.2,1.2136,0.7178,28
46,[1024],"[(1024, 'silu')]",0.5,0.9,258,0.01,0.15,1.2153,0.7104,19
47,[1024],"[(1024, 'silu')]",0.5,0.95,258,0.01,0.2,1.2172,0.7224,35
48,[512],"[(512, 'silu')]",0.5,0.975,258,0.01,0.2,1.2174,0.714,17
49,[512],"[(512, 'silu')]",0.5,0.9,258,0.01,0.1,1.2195,0.7089,34
50,[1024],"[(1024, 'gelu')]",0.5,0.95,258,0.01,0.2,1.2201,0.7153,34
51,[512],"[(512, 'gelu')]",0.3,0.9,258,0.01,0.25,1.2202,0.7042,31
52,[512],"[(512, 'silu')]",0.5,0.95,512,0.01,0.15,1.2203,0.6963,19
53,[1024],"[(1024, 'gelu')]",0.5,0.9,512,0.01,0.1,1.2217,0.6882,29
54,[1024],"[(1024, 'leaky_relu')]",0.5,0.9,512,0.01,0.1,1.2231,0.6941,23
55,[1024],"[(1024, 'leaky_relu')]",0.1,0.975,258,0.01,0.25,1.2236,0.7183,47
56,[1024],"[(1024, 'leaky_relu')]",0.5,0.9,258,0.01,0.15,1.2243,0.7044,26
57,[512],"[(512, 'leaky_relu')]",0.5,0.9,258,0.01,0.2,1.2246,0.675,21
58,[512],"[(512, 'silu')]",0.5,0.9,512,0.01,0.1,1.2248,0.6925,33
59,[1024],"[(1024, 'gelu')]",0.5,0.95,512,0.01,0.25,1.2253,0.7139,29
60,[512],"[(512, 'silu')]",0.5,0.95,258,0.01,0.25,1.2259,0.7011,31
61,[1024],"[(1024, 'silu')]",0.3,0.975,258,0.01,0.2,1.227,0.7102,36
62,[1024],"[(1024, 'gelu')]",0.1,0.95,258,0.01,0.25,1.2272,0.7068,41
63,[1024],"[(1024, 'leaky_relu')]",0.5,0.95,512,0.01,0.1,1.2273,0.7071,32
64,[1024],"[(1024, 'silu')]",0.5,0.96,258,0.01,0.15,1.2279,0.7129,31
65,[512],"[(512, 'gelu')]",0.5,0.9,512,0.01,0.25,1.2286,0.6864,32
66,[1024],"[(1024, 'silu')]",0.3,0.95,258,0.01,0.2,1.2291,0.7142,35
67,[1024],"[(1024, 'leaky_relu')]",0.5,0.96,512,0.01,0.25,1.2293,0.7072,22
68,[1024],"[(1024, 'gelu')]",0.5,0.95,512,0.01,0.2,1.2299,0.7013,24
69,[1024],"[(1024, 'gelu')]",0.5,0.9,258,0.01,0.15,1.2301,0.6978,32
70,[1024],"[(1024, 'gelu')]",0.5,0.96,512,0.01,0.25,1.2303,0.7087,55
71,[512],"[(512, 'silu')]",0.5,0.96,258,0.01,0.25,1.2304,0.7088,29
72,[1024],"[(1024, 'leaky_relu')]",0.5,0.95,258,0.01,0.25,1.2318,0.6929,19
73,[1024],"[(1024, 'leaky_relu')]",0.3,0.95,258,0.01,0.25,1.2321,0.7144,36
74,[1024],"[(1024, 'gelu')]",0.3,0.9,258,0.01,0.25,1.2332,0.6922,23
75,[512],"[(512, 'gelu')]",0.5,0.9,512,0.01,0.15,1.2334,0.6977,22
76,[512],"[(512, 'leaky_relu')]",0.5,0.9,512,0.01,0.1,1.2343,0.6931,39
77,[1024],"[(1024, 'gelu')]",0.1,0.96,258,0.01,0.25,1.2349,0.7095,34
78,[1024],"[(1024, 'silu')]",0.5,0.95,512,0.01,0.25,1.235,0.7044,30
79,[512],"[(512, 'leaky_relu')]",0.5,0.9,258,0.01,0.1,1.2364,0.7062,21
80,[512],"[(512, 'silu')]",0.5,0.9,512,0.01,0.2,1.2373,0.6796,27
81,[512],"[(512, 'leaky_relu')]",0.3,0.9,512,0.01,0.25,1.2373,0.685,41
82,[512],"[(512, 'leaky_relu')]",0.5,0.975,258,0.01,0.25,1.2382,0.6932,28
83,[1024],"[(1024, 'gelu')]",0.1,0.96,258,0.01,0.2,1.239,0.712,46
