,layers,layers_config,dropout,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
1,[512],"[(512, 'silu')]",0.5,0.975,258,0.01,0.2,1.2803,0.7016,19
2,[512],"[(512, 'gelu')]",0.1,0.9,258,0.01,0.15,1.2823,0.6988,73
3,[512],"[(512, 'leaky_relu')]",0.5,0.9,512,0.01,0.2,1.2957,0.7064,20
4,[512],"[(512, 'leaky_relu')]",0.5,0.975,512,0.01,0.15,1.3003,0.6889,18
5,[512],"[(512, 'silu')]",0.5,0.96,512,0.01,0.2,1.3084,0.694,25
6,[256],"[(256, 'silu')]",0.5,0.95,258,0.01,0.2,1.3088,0.6674,20
7,[512],"[(512, 'leaky_relu')]",0.5,0.96,512,0.01,0.2,1.3161,0.6983,19
8,[512],"[(512, 'leaky_relu')]",0.1,0.96,258,0.01,0.2,1.3173,0.6921,40
9,[512],"[(512, 'leaky_relu')]",0.5,0.9,512,0.01,0.15,1.3186,0.6828,23
10,[512],"[(512, 'gelu')]",0.5,0.95,258,0.01,0.15,1.322,0.6881,19
11,[512],"[(512, 'gelu')]",0.1,0.96,258,0.01,0.2,1.3227,0.6808,48
12,[512],"[(512, 'leaky_relu')]",0.5,0.96,512,0.01,0.1,1.3232,0.6943,21
13,[512],"[(512, 'leaky_relu')]",0.5,0.95,512,0.01,0.15,1.3233,0.6794,22
14,[512],"[(512, 'leaky_relu')]",0.5,0.975,512,0.01,0.2,1.3246,0.6835,18
15,[512],"[(512, 'silu')]",0.5,0.95,512,0.01,0.2,1.3267,0.6942,20
16,[512],"[(512, 'gelu')]",0.1,0.9,258,0.01,0.2,1.3267,0.6971,31
17,[512],"[(512, 'gelu')]",0.5,0.9,512,0.01,0.2,1.3302,0.6883,21
18,[512],"[(512, 'gelu')]",0.5,0.95,512,0.01,0.2,1.3312,0.6932,24
19,[512],"[(512, 'gelu')]",0.5,0.96,512,0.01,0.15,1.3315,0.6925,22
20,[512],"[(512, 'leaky_relu')]",0.1,0.95,258,0.01,0.2,1.3318,0.6982,41
21,[512],"[(512, 'silu')]",0.5,0.9,512,0.01,0.1,1.3323,0.7064,23
22,[512],"[(512, 'silu')]",0.5,0.975,512,0.01,0.1,1.3326,0.7001,19
23,[256],"[(256, 'silu')]",0.5,0.975,512,0.01,0.15,1.3328,0.6889,19
24,[512],"[(512, 'silu')]",0.5,0.975,512,0.01,0.15,1.3351,0.679,18
25,[512],"[(512, 'silu')]",0.5,0.95,258,0.01,0.2,1.3353,0.6779,19
26,[512],"[(512, 'silu')]",0.3,0.96,258,0.01,0.2,1.3354,0.685,19
27,[512],"[(512, 'leaky_relu')]",0.3,0.95,512,0.01,0.2,1.3358,0.6884,18
28,[512],"[(512, 'silu')]",0.5,0.975,512,0.01,0.2,1.3363,0.6829,17
29,[512],"[(512, 'gelu')]",0.3,0.95,512,0.01,0.2,1.3378,0.6901,17
30,[256],"[(256, 'silu')]",0.5,0.9,512,0.01,0.2,1.3384,0.6794,25
31,[512],"[(512, 'silu')]",0.3,0.95,258,0.01,0.2,1.3408,0.6961,15
32,[512],"[(512, 'gelu')]",0.5,0.9,258,0.01,0.2,1.3414,0.6718,20
33,[256],"[(256, 'silu')]",0.5,0.96,512,0.01,0.2,1.3473,0.6703,23
34,[256],"[(256, 'leaky_relu')]",0.5,0.96,512,0.01,0.15,1.3473,0.6745,22
35,[512],"[(512, 'leaky_relu')]",0.3,0.96,512,0.01,0.15,1.3485,0.7028,18
36,[512],"[(512, 'gelu')]",0.5,0.95,258,0.01,0.2,1.3487,0.6831,16
37,[256],"[(256, 'silu')]",0.5,0.96,512,0.01,0.15,1.3493,0.6773,24
38,[512],"[(512, 'gelu')]",0.3,0.9,512,0.01,0.2,1.3505,0.6892,17
39,[512],"[(512, 'silu')]",0.5,0.9,512,0.01,0.2,1.3518,0.6841,21
40,[256],"[(256, 'gelu')]",0.5,0.95,512,0.01,0.15,1.3519,0.6642,21
41,[512],"[(512, 'silu')]",0.5,0.975,258,0.01,0.15,1.3519,0.6863,17
42,[256],"[(256, 'silu')]",0.5,0.95,512,0.01,0.2,1.3519,0.6855,21
43,[512],"[(512, 'silu')]",0.5,0.9,512,0.01,0.15,1.3524,0.7027,22
44,[512],"[(512, 'silu')]",0.5,0.9,258,0.01,0.2,1.3528,0.6771,20
45,[512],"[(512, 'silu')]",0.1,0.975,258,0.01,0.2,1.3542,0.6891,14
