,layers,layers_config,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
223,[1024],"[(1024, 'relu')]",0.99,512,0.1,0.1,2.8125,0.4351,25
224,[128→64],"[(128, 'relu'), (64, 'relu')]",0.99,512,0.1,0.1,2.8266,0.3255,57
225,[1024],"[(1024, 'relu')]",0.995,512,0.1,0.1,2.8267,0.4097,35
226,[512→128],"[(512, 'relu'), (128, 'relu')]",0.99,256,0.1,0.1,2.8387,0.2291,52
227,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.97,512,0.1,0.1,2.846,0.3111,38
228,[512],"[(512, 'relu')]",0.99,256,0.1,0.1,2.8461,0.3656,27
229,[256→64],"[(256, 'relu'), (64, 'relu')]",0.99,64,0.01,0.001,2.8513,0.5828,13
230,[512],"[(512, 'relu')]",0.995,512,0.1,0.1,2.8527,0.3845,22
231,[256],"[(256, 'relu')]",0.995,256,0.1,0.1,2.8683,0.3149,28
232,[512→128],"[(512, 'relu'), (128, 'relu')]",0.995,512,0.1,0.1,2.8818,0.2941,33
233,[1024],"[(1024, 'relu')]",0.99,256,0.1,0.1,2.8853,0.3346,24
234,[512],"[(512, 'relu')]",0.97,256,0.1,0.1,2.8861,0.4582,32
235,[128],"[(128, 'relu')]",0.995,256,0.1,0.1,2.8876,0.3255,23
236,[128],"[(128, 'relu')]",0.99,256,0.1,0.1,2.8887,0.2692,26
237,[256→64],"[(256, 'relu'), (64, 'relu')]",0.99,256,0.1,0.1,2.9027,0.2175,38
238,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.995,64,0.01,0.01,2.9126,0.5719,15
239,[128],"[(128, 'relu')]",0.99,512,0.1,0.1,2.915,0.3857,43
240,[256],"[(256, 'relu')]",0.97,512,0.1,0.1,2.9291,0.4312,26
241,[128→64],"[(128, 'relu'), (64, 'relu')]",0.99,64,0.01,0.01,2.9519,0.5892,15
242,[512],"[(512, 'relu')]",0.99,512,0.1,0.1,2.954,0.4373,27
243,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.99,64,0.01,0.01,2.959,0.5873,13
244,[128→64],"[(128, 'relu'), (64, 'relu')]",0.995,256,0.1,0.1,2.9593,0.1587,73
245,[512→128],"[(512, 'relu'), (128, 'relu')]",0.97,512,0.1,0.1,2.9649,0.2508,35
246,[256],"[(256, 'relu')]",0.99,512,0.1,0.1,2.9672,0.3925,30
247,[256],"[(256, 'relu')]",0.99,256,0.1,0.1,2.972,0.3183,36
248,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.995,64,0.01,0.001,2.9743,0.6149,14
249,[256→64],"[(256, 'relu'), (64, 'relu')]",0.99,512,0.1,0.1,2.9858,0.3575,68
250,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.97,512,0.1,0.01,3.0038,0.22,22
251,[1024],"[(1024, 'relu')]",0.97,512,0.1,0.1,3.0062,0.4443,29
252,[512],"[(512, 'relu')]",0.97,512,0.1,0.01,3.015,0.3729,18
253,[512→128],"[(512, 'relu'), (128, 'relu')]",0.995,64,0.01,0.001,3.0243,0.5928,15
254,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.99,512,0.1,0.1,3.031,0.2309,92
255,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.99,64,0.01,0.001,3.0491,0.5794,14
256,[256],"[(256, 'relu')]",0.995,512,0.1,0.1,3.0568,0.4058,30
257,[256→64],"[(256, 'relu'), (64, 'relu')]",0.995,64,0.01,0.001,3.0581,0.5714,14
258,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.99,64,0.1,0.1,3.0624,0.1192,49
259,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.99,256,0.1,0.1,3.0837,0.165,70
260,[512→128],"[(512, 'relu'), (128, 'relu')]",0.995,256,0.1,0.1,3.0848,0.1419,24
261,[1024],"[(1024, 'relu')]",0.99,512,0.1,0.001,3.1025,0.3412,18
262,[1024],"[(1024, 'relu')]",0.97,512,0.1,0.01,3.1028,0.3977,23
263,[256→64],"[(256, 'relu'), (64, 'relu')]",0.97,512,0.1,0.01,3.1193,0.2473,31
264,[128→64],"[(128, 'relu'), (64, 'relu')]",0.995,512,0.1,0.001,3.122,0.2309,25
265,[128→64],"[(128, 'relu'), (64, 'relu')]",0.99,64,0.01,0.001,3.126,0.5607,13
266,[1024],"[(1024, 'relu')]",0.97,256,0.1,0.01,3.1385,0.2758,19
267,[256],"[(256, 'relu')]",0.995,512,0.1,0.01,3.14,0.2925,27
268,[256],"[(256, 'relu')]",0.97,512,0.1,0.001,3.1523,0.3341,20
269,[128→64],"[(128, 'relu'), (64, 'relu')]",0.995,64,0.01,0.001,3.1599,0.5531,14
270,[256→64],"[(256, 'relu'), (64, 'relu')]",0.99,256,0.1,0.001,3.1609,0.1782,20
271,[1024],"[(1024, 'relu')]",0.99,256,0.1,0.01,3.1645,0.3505,34
272,[512],"[(512, 'relu')]",0.99,512,0.1,0.001,3.1736,0.3017,16
273,[1024],"[(1024, 'relu')]",0.99,256,0.1,0.001,3.1746,0.2707,21
274,[256],"[(256, 'relu')]",0.99,256,0.1,0.01,3.1959,0.2767,19
275,[512],"[(512, 'relu')]",0.97,256,0.1,0.01,3.202,0.3141,21
276,[512→128],"[(512, 'relu'), (128, 'relu')]",0.97,256,0.1,0.001,3.2114,0.1616,23
277,[128],"[(128, 'relu')]",0.995,256,0.1,0.01,3.2136,0.2183,19
278,[128],"[(128, 'relu')]",0.99,256,0.1,0.01,3.2184,0.2544,19
279,[512→128],"[(512, 'relu'), (128, 'relu')]",0.97,512,0.1,0.01,3.2196,0.2664,50
280,[128],"[(128, 'relu')]",0.97,512,0.1,0.001,3.2249,0.2789,32
281,[128],"[(128, 'relu')]",0.99,512,0.1,0.001,3.2263,0.2768,18
282,[256→64],"[(256, 'relu'), (64, 'relu')]",0.99,64,0.01,0.01,3.2268,0.5611,14
283,[128],"[(128, 'relu')]",0.99,512,0.1,0.01,3.2329,0.3184,19
284,[512],"[(512, 'relu')]",0.99,256,0.1,0.001,3.2373,0.25,17
285,[256],"[(256, 'relu')]",0.97,256,0.1,0.01,3.2489,0.362,30
286,[256],"[(256, 'relu')]",0.97,512,0.1,0.01,3.2594,0.2426,37
287,[256],"[(256, 'relu')]",0.995,512,0.1,0.001,3.2596,0.3366,15
288,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.995,512,0.1,0.01,3.2692,0.2958,52
289,[1024],"[(1024, 'relu')]",0.995,512,0.1,0.01,3.2717,0.3703,24
290,[512→128],"[(512, 'relu'), (128, 'relu')]",0.97,256,0.1,0.01,3.2736,0.1706,32
291,[512],"[(512, 'relu')]",0.99,512,0.1,0.01,3.2744,0.3088,24
292,[256→64],"[(256, 'relu'), (64, 'relu')]",0.97,256,0.1,0.01,3.2767,0.191,32
293,[128→64],"[(128, 'relu'), (64, 'relu')]",0.995,512,0.1,0.01,3.2805,0.1563,64
294,[256→64],"[(256, 'relu'), (64, 'relu')]",0.995,64,0.01,0.01,3.2835,0.553,15
295,[512],"[(512, 'relu')]",0.97,512,0.1,0.001,3.2878,0.3276,20
296,[512],"[(512, 'relu')]",0.995,512,0.1,0.01,3.2892,0.2804,23
