,layers,layers_config,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
607,[512],"[(512, 'relu')]",0.95,512,0.1,0.15,2.6057,0.481,29
608,[256],"[(256, 'relu')]",0.975,64,0.1,0.2,2.6077,0.2866,76
609,[1024],"[(1024, 'relu')]",0.96,256,0.1,0.15,2.6087,0.5293,39
610,[128],"[(128, 'relu')]",0.95,256,0.1,0.1,2.6105,0.4722,25
611,[512],"[(512, 'relu')]",0.96,64,0.1,0.1,2.6162,0.3973,71
612,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.96,64,0.1,0.2,2.6163,0.2532,100
613,[512],"[(512, 'relu')]",0.95,64,0.1,0.1,2.6196,0.3569,42
614,[128→64],"[(128, 'relu'), (64, 'relu')]",0.975,512,0.1,0.2,2.621,0.3987,65
615,[128],"[(128, 'relu')]",0.975,256,0.1,0.1,2.6217,0.4168,29
616,[512→128],"[(512, 'relu'), (128, 'relu')]",0.95,256,0.1,0.15,2.6253,0.3724,39
617,[128],"[(128, 'relu')]",0.9,512,0.1,0.1,2.6271,0.3678,26
618,[128→64],"[(128, 'relu'), (64, 'relu')]",0.9,64,0.1,0.1,2.6312,0.3366,38
619,[256→64],"[(256, 'relu'), (64, 'relu')]",0.95,256,0.1,0.15,2.6332,0.4314,38
620,[256],"[(256, 'relu')]",0.975,256,0.1,0.1,2.6349,0.403,25
621,[256],"[(256, 'relu')]",0.95,64,0.1,0.1,2.6356,0.3359,60
622,[512],"[(512, 'relu')]",0.96,512,0.1,0.1,2.6388,0.4856,32
623,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.9,512,0.1,0.1,2.6521,0.3303,32
624,[128],"[(128, 'relu')]",0.96,256,0.1,0.15,2.6523,0.4704,38
625,[1024],"[(1024, 'relu')]",0.975,512,0.1,0.15,2.6589,0.5062,28
626,[256],"[(256, 'relu')]",0.9,64,0.1,0.1,2.6635,0.3651,42
627,[1024],"[(1024, 'relu')]",0.95,256,0.1,0.1,2.67,0.4896,29
628,[512],"[(512, 'relu')]",0.95,256,0.1,0.1,2.675,0.4829,29
629,[256],"[(256, 'relu')]",0.975,64,0.1,0.25,2.6762,0.283,100
630,[256],"[(256, 'relu')]",0.975,512,0.1,0.15,2.6768,0.4338,35
631,[256→64],"[(256, 'relu'), (64, 'relu')]",0.96,256,0.1,0.2,2.6769,0.348,57
632,[512→128],"[(512, 'relu'), (128, 'relu')]",0.9,64,0.1,0.1,2.6803,0.3125,41
633,[512],"[(512, 'relu')]",0.9,512,0.1,0.1,2.6816,0.4468,24
634,[256],"[(256, 'relu')]",0.96,512,0.1,0.15,2.6818,0.4135,23
635,[128],"[(128, 'relu')]",0.96,64,0.1,0.15,2.6859,0.2232,78
