,layers,layers_config,dropout,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
761,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.3,0.975,258,0.01,0.1,1.5435,0.6579,29
762,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.5,0.975,258,0.01,0.15,1.5445,0.6134,33
763,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.5,0.9,258,0.01,0.15,1.5453,0.6058,50
764,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.5,0.95,258,0.01,0.2,1.5457,0.6028,48
765,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.5,0.96,258,0.01,0.1,1.5459,0.6354,38
766,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.1,0.975,512,0.01,0.25,1.5462,0.66,20
767,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.1,0.95,258,0.01,0.2,1.5466,0.6648,18
768,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.3,0.95,258,0.01,0.15,1.5467,0.6382,43
769,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.1,0.96,258,0.01,0.2,1.5469,0.6533,19
770,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.3,0.96,258,0.01,0.15,1.5472,0.6354,25
771,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.3,0.9,258,0.01,0.1,1.5473,0.6352,36
772,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.5,0.96,258,0.01,0.1,1.5475,0.631,43
773,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.5,0.95,512,0.01,0.2,1.5478,0.6113,58
774,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.3,0.96,512,0.01,0.1,1.5479,0.6577,29
775,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.3,0.95,258,0.01,0.15,1.5481,0.6308,22
776,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.5,0.95,258,0.01,0.1,1.5492,0.6147,51
777,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.3,0.9,258,0.01,0.15,1.5497,0.6421,34
778,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.3,0.95,512,0.01,0.1,1.5499,0.652,28
779,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.5,0.95,512,0.01,0.1,1.5503,0.588,40
780,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.3,0.975,512,0.01,0.15,1.5514,0.6436,33
781,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.1,0.95,512,0.01,0.25,1.5525,0.65,27
782,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.1,0.9,512,0.01,0.2,1.553,0.6502,20
